Purpose,Gender,Age,Maximum Buying Capacity(in 1000s),Product Type,Services
Academic purpose,F,39.62,,Workstations for Professional Use,
Personal Use,M,32.58,,Laptop for Work,
Small Organization,M,46.1,,Laptop for Home,
Academic purpose,F,21.21,,Gaming Laptop,
Small organization,F,57.99,,Desktops for Business,
Gaming Purpose,M,25.34,,Servers for Small Businesses,
Big Organization,M,27.51,,Servers for Large Businesses,
Small organization,M,39.16,,Workstations for Professional Use,
Small Organization,F,53.43,,Laptop for Work,
Small Organization,M,49.49,,Laptop for Home,
Big Organization,M,51.32,,Gaming Laptop,
Personal Use,M,32.76,,Desktops for Business,
Personal Use,F,38.2,,Servers for Small Businesses,
Big Organization,M,59.23,,Servers for Large Businesses,
Personal Use,F,56.33,,Workstations for Professional Use,
Gaming Purpose,F,36.36,,Laptop for Work,
Small organization,F,48.3,,Laptop for Home,
Personal Use,F,27.64,,Gaming Laptop,
Personal Use,M,34.37,,Desktops for Business,
Big Organization,F,54.43,,Servers for Small Businesses,
Personal Use,F,46.02,,Servers for Large Businesses,
Small Organization,M,44.22,,Workstations for Professional Use,
Academic purpose,M,49.79,,Laptop for Work,
Gaming Purpose,F,42.08,,Laptop for Home,
Academic purpose,F,56.39,,Gaming Laptop,
Small organization,F,22.34,,Desktops for Business,
Academic purpose,M,24.96,,Servers for Small Businesses,
Small Organization,M,41.57,,Servers for Large Businesses,
Small organization,F,30.72,,Workstations for Professional Use,
Small organization,F,30.76,,Laptop for Work,
Big Organization,F,32.75,,Laptop for Home,
Small Organization,M,45.79,,Gaming Laptop,
Small organization,M,22.08,,Desktops for Business,
Small organization,F,40.13,,Servers for Small Businesses,
Big Organization,M,43.04,,Servers for Large Businesses,
Small organization,F,56.79,,Workstations for Professional Use,
Big Organization,F,48.82,,Laptop for Work,
Gaming Purpose,F,59.51,,Laptop for Home,
Big Organization,M,59.27,,Gaming Laptop,
Big Organization,M,27.24,,Desktops for Business,
Academic purpose,M,36.03,,Servers for Small Businesses,
Personal Use,M,38.82,,Servers for Large Businesses,
Big Organization,M,59.83,,Workstations for Professional Use,
Big Organization,F,35.96,,Laptop for Work,
Big Organization,F,30.08,,Laptop for Home,
Personal Use,F,44.4,,Gaming Laptop,
Personal Use,M,56.69,,Desktops for Business,
Small organization,M,34.41,,Servers for Small Businesses,
Gaming Purpose,F,23.12,,Servers for Large Businesses,
Gaming Purpose,F,44.46,,Workstations for Professional Use,
Gaming Purpose,M,36.78,,Laptop for Work,
Gaming Purpose,F,22.19,,Laptop for Home,
Gaming Purpose,M,50.54,,Gaming Laptop,
Personal Use,M,45.61,,Desktops for Business,
Personal Use,M,59.59,,Servers for Small Businesses,
Big Organization,F,27.55,,Servers for Large Businesses,
Small Organization,F,54.51,,Workstations for Professional Use,
Big Organization,F,34.35,,Laptop for Work,
Big Organization,F,42.59,,Laptop for Home,
Personal Use,M,48.85,,Gaming Laptop,
Big Organization,M,59.45,,Desktops for Business,
Academic purpose,M,35.57,,Servers for Small Businesses,
Big Organization,M,53.81,,Servers for Large Businesses,
Gaming Purpose,F,35.14,,Workstations for Professional Use,
Academic purpose,M,35.58,,Laptop for Work,
Small Organization,M,54.04,,Laptop for Home,
Gaming Purpose,F,58.23,,Gaming Laptop,
Big Organization,F,22.55,,Desktops for Business,
Big Organization,F,35.34,,Servers for Small Businesses,
Small organization,F,54.94,,Servers for Large Businesses,
Small Organization,F,54.42,,Workstations for Professional Use,
Gaming Purpose,M,36.91,,Laptop for Work,
Gaming Purpose,M,56.98,,Laptop for Home,
Big Organization,M,22.33,,Gaming Laptop,
Big Organization,F,54.9,,Desktops for Business,
Big Organization,M,35.16,,Servers for Small Businesses,
Small organization,F,24.98,,Servers for Large Businesses,
Academic purpose,M,56.66,,Workstations for Professional Use,
Personal Use,M,27.76,,Laptop for Work,
Small Organization,M,41.87,,Laptop for Home,
Small Organization,M,43.61,,Gaming Laptop,
Gaming Purpose,M,43.27,,Desktops for Business,
Small organization,M,33.06,,Servers for Small Businesses,
Small Organization,F,51.78,,Servers for Large Businesses,
Big Organization,F,26.38,,Workstations for Professional Use,
Personal Use,F,22.9,,Laptop for Work,
Academic purpose,M,47.41,,Laptop for Home,
Small organization,M,49.24,,Gaming Laptop,
Academic purpose,M,27.6,,Desktops for Business,
Gaming Purpose,M,55.17,,Servers for Small Businesses,
Gaming Purpose,F,22.41,,Servers for Large Businesses,
Big Organization,F,27.77,,Workstations for Professional Use,
Personal Use,F,27.82,,Laptop for Work,
Small Organization,M,43.08,,Laptop for Home,
Small Organization,M,21.2,,Gaming Laptop,
Big Organization,F,48.52,,Desktops for Business,
Big Organization,F,31.36,,Servers for Small Businesses,
Gaming Purpose,F,25.56,,Servers for Large Businesses,
Personal Use,M,42.92,,Workstations for Professional Use,
Big Organization,F,25.76,,Laptop for Work,
Big Organization,F,46.82,,Laptop for Home,
Gaming Purpose,M,40.89,,Gaming Laptop,
Academic purpose,M,42.22,,Desktops for Business,
Small organization,F,58.43,,Servers for Small Businesses,
Small organization,F,28.53,,Servers for Large Businesses,
Gaming Purpose,F,29.26,,Workstations for Professional Use,
Big Organization,F,26.78,,Laptop for Work,
Gaming Purpose,F,59.61,,Laptop for Home,
Big Organization,M,52.13,,Gaming Laptop,
Big Organization,F,47.25,,Desktops for Business,
Small Organization,F,37.79,,Servers for Small Businesses,
Big Organization,M,48.98,,Servers for Large Businesses,
Big Organization,M,22,,Workstations for Professional Use,
Gaming Purpose,F,53.32,,Laptop for Work,
Big Organization,M,52.46,,Laptop for Home,
Small Organization,F,55.42,,Gaming Laptop,
Big Organization,F,41.8,,Desktops for Business,
Big Organization,F,44.33,,Servers for Small Businesses,
Big Organization,M,42.5,,Servers for Large Businesses,
Big Organization,M,58.4,,Workstations for Professional Use,
Big Organization,M,43.93,,Laptop for Work,
Big Organization,M,36.02,,Laptop for Home,
Big Organization,M,32.66,,Gaming Laptop,
Personal Use,M,46.56,,Desktops for Business,
Small Organization,M,43.07,,Servers for Small Businesses,
Big Organization,F,43.55,,Servers for Large Businesses,
Gaming Purpose,M,42.18,,Workstations for Professional Use,
Academic purpose,M,37.18,,Laptop for Work,
Small Organization,F,38.69,,Laptop for Home,
Small organization,F,22.94,,Gaming Laptop,
Small organization,M,26.34,,Desktops for Business,
Academic purpose,F,56.65,,Servers for Small Businesses,
Small Organization,F,34.48,,Servers for Large Businesses,
Personal Use,F,46.61,,Workstations for Professional Use,
Academic purpose,M,51.92,,Laptop for Work,
Small organization,M,43.05,,Laptop for Home,
Gaming Purpose,F,57.94,,Gaming Laptop,
Academic purpose,M,49.86,,Desktops for Business,
Big Organization,M,43.71,,Servers for Small Businesses,
Big Organization,F,21.55,,Servers for Large Businesses,
Big Organization,F,23.8,,Workstations for Professional Use,
Academic purpose,F,45.41,,Laptop for Work,
Gaming Purpose,F,38.03,,Laptop for Home,
Gaming Purpose,M,46,,Gaming Laptop,
Gaming Purpose,F,26.57,,Desktops for Business,
Big Organization,F,25.84,,Servers for Small Businesses,
Small Organization,M,46.22,,Servers for Large Businesses,
Big Organization,M,23.37,,Workstations for Professional Use,
Big Organization,F,48.03,,Laptop for Work,
Big Organization,F,22.14,,Laptop for Home,
Academic purpose,F,35.12,,Gaming Laptop,
Personal Use,M,45.28,,Desktops for Business,
Gaming Purpose,F,54.73,,Servers for Small Businesses,
Small organization,M,45.18,,Servers for Large Businesses,
Big Organization,M,24.58,,Workstations for Professional Use,
Academic purpose,F,56.48,,Laptop for Work,
Gaming Purpose,M,56.46,,Laptop for Home,
Big Organization,F,27.22,,Gaming Laptop,
Big Organization,M,29,,Desktops for Business,
Gaming Purpose,M,30.37,,Servers for Small Businesses,
Academic purpose,M,47.81,,Servers for Large Businesses,
Big Organization,M,36.43,,Workstations for Professional Use,
Big Organization,M,37.76,,Laptop for Work,
Gaming Purpose,M,27.48,,Laptop for Home,
Small Organization,M,27.6,,Gaming Laptop,
Small Organization,M,23.34,,Desktops for Business,
Gaming Purpose,F,34.76,,Servers for Small Businesses,
Small Organization,F,59.01,,Servers for Large Businesses,
Personal Use,F,57.45,,Workstations for Professional Use,
Personal Use,M,35.39,,Laptop for Work,
Small Organization,F,56.95,,Laptop for Home,
Big Organization,F,28.25,,Gaming Laptop,
Gaming Purpose,M,47.22,,Desktops for Business,
Big Organization,M,41.41,,Servers for Small Businesses,
Small Organization,M,57.74,,Servers for Large Businesses,
Small organization,F,23.18,,Workstations for Professional Use,
Small Organization,F,47.55,,Laptop for Work,
Big Organization,F,29.11,,Laptop for Home,
Big Organization,F,43.61,,Gaming Laptop,
Big Organization,F,23.89,,Desktops for Business,
Small organization,M,35.34,,Servers for Small Businesses,
Personal Use,F,24.6,,Servers for Large Businesses,
Big Organization,M,54.51,,Workstations for Professional Use,
Big Organization,F,39.13,,Laptop for Work,
Academic purpose,M,50.26,,Laptop for Home,
Big Organization,F,33.89,,Gaming Laptop,
Small organization,M,27.44,,Desktops for Business,
Small Organization,F,47.77,,Servers for Small Businesses,
Big Organization,M,58.23,,Servers for Large Businesses,
Small Organization,M,23.35,,Workstations for Professional Use,
Small organization,F,49.91,,Laptop for Work,
Academic purpose,M,57.34,,Laptop for Home,
Big Organization,M,48.96,,Gaming Laptop,
Small organization,F,56.28,,Desktops for Business,
Big Organization,M,28.42,,Servers for Small Businesses,
Big Organization,F,45.5,,Servers for Large Businesses,
Personal Use,M,55.41,,Workstations for Professional Use,
Gaming Purpose,M,39.34,,Laptop for Work,
Personal Use,M,59.01,,Laptop for Home,
Big Organization,M,57.56,,Gaming Laptop,
Gaming Purpose,M,56.31,,Desktops for Business,
Small organization,F,54.09,,Servers for Small Businesses,
Small organization,M,56.74,,Servers for Large Businesses,
Academic purpose,F,30.95,,Workstations for Professional Use,
Big Organization,M,34.65,,Laptop for Work,
Personal Use,M,25.48,,Laptop for Home,
Personal Use,M,48.16,,Gaming Laptop,
Academic purpose,M,48.76,,Desktops for Business,
Small Organization,F,36.19,,Servers for Small Businesses,
Big Organization,M,53.36,,Servers for Large Businesses,
Big Organization,F,34.85,,Workstations for Professional Use,
Gaming Purpose,F,47.22,,Laptop for Work,
Personal Use,M,32.97,,Laptop for Home,
Big Organization,M,41.95,,Gaming Laptop,
Big Organization,F,51.93,,Desktops for Business,
Academic purpose,F,30.2,,Servers for Small Businesses,
Small organization,F,59.76,,Servers for Large Businesses,
Academic purpose,M,31.39,,Workstations for Professional Use,
Academic purpose,F,31.48,,Laptop for Work,
Small Organization,M,49.69,,Laptop for Home,
Personal Use,M,38.64,,Gaming Laptop,
Small Organization,F,22.18,,Desktops for Business,
Small organization,M,56.15,,Servers for Small Businesses,
Personal Use,F,30.35,,Servers for Large Businesses,
Small Organization,M,32.41,,Workstations for Professional Use,
Big Organization,F,33.74,,Laptop for Work,
Personal Use,M,27.57,,Laptop for Home,
Personal Use,M,22.96,,Gaming Laptop,
Big Organization,M,30.17,,Desktops for Business,
Gaming Purpose,F,45.85,,Servers for Small Businesses,
Personal Use,M,36.91,,Servers for Large Businesses,
Big Organization,M,28.96,,Workstations for Professional Use,
Small Organization,M,44.77,,Laptop for Work,
Big Organization,M,57.21,,Laptop for Home,
Big Organization,F,33.33,,Gaming Laptop,
Personal Use,F,58.9,,Desktops for Business,
Small organization,M,54.34,,Servers for Small Businesses,
Small Organization,F,26.88,,Servers for Large Businesses,
Gaming Purpose,M,38.54,,Workstations for Professional Use,
Big Organization,F,35.01,,Laptop for Work,
Gaming Purpose,F,21.75,,Laptop for Home,
Personal Use,M,49.84,,Gaming Laptop,
Personal Use,M,49.22,,Desktops for Business,
Small organization,F,44.62,,Servers for Small Businesses,
Small Organization,M,31.17,,Servers for Large Businesses,
Personal Use,M,25.44,,Workstations for Professional Use,
Small Organization,F,56.62,,Laptop for Work,
Gaming Purpose,M,47.74,,Laptop for Home,
Small Organization,M,34.5,,Gaming Laptop,
Small organization,M,27.94,,Desktops for Business,
Small Organization,M,26.95,,Servers for Small Businesses,
Big Organization,M,52.49,,Servers for Large Businesses,
Big Organization,F,26.92,,Workstations for Professional Use,
Big Organization,M,52.97,,Laptop for Work,
Academic purpose,F,37.98,,Laptop for Home,
Small Organization,M,56.64,,Gaming Laptop,
Big Organization,M,27.39,,Desktops for Business,
Big Organization,F,37.06,,Servers for Small Businesses,
Big Organization,M,25.47,,Servers for Large Businesses,
Personal Use,F,28.11,,Workstations for Professional Use,
Personal Use,F,59.12,,Laptop for Work,
Gaming Purpose,M,33.13,,Laptop for Home,
Gaming Purpose,F,36.71,,Gaming Laptop,
Big Organization,M,41.45,,Desktops for Business,
Academic purpose,F,52.09,,Servers for Small Businesses,
Personal Use,F,35,,Servers for Large Businesses,
Small Organization,F,54.99,,Workstations for Professional Use,
Academic purpose,M,24.35,,Laptop for Work,
Personal Use,M,57.54,,Laptop for Home,
Small Organization,F,35.86,,Gaming Laptop,
Big Organization,M,58.13,,Desktops for Business,
Small organization,M,50.16,,Servers for Small Businesses,
Big Organization,F,33.48,,Servers for Large Businesses,
Gaming Purpose,F,47.81,,Workstations for Professional Use,
Gaming Purpose,M,37.96,,Laptop for Work,
Personal Use,M,45.33,,Laptop for Home,
Personal Use,F,59.19,,Gaming Laptop,
Big Organization,M,43.33,,Desktops for Business,
Big Organization,F,58.83,,Servers for Small Businesses,
Personal Use,M,43,,Servers for Large Businesses,
Academic purpose,F,42.71,,Workstations for Professional Use,
Personal Use,M,52.79,,Laptop for Work,
Gaming Purpose,F,43.1,,Laptop for Home,
Personal Use,M,46.41,,Gaming Laptop,
Small Organization,M,52.35,,Desktops for Business,
Small organization,M,27.96,,Servers for Small Businesses,
Personal Use,F,24.64,,Servers for Large Businesses,
Academic purpose,M,48.46,,Workstations for Professional Use,
Big Organization,M,24.17,,Laptop for Work,
Gaming Purpose,F,56.5,,Laptop for Home,
Big Organization,M,51.36,,Gaming Laptop,
Small organization,F,51.19,,Desktops for Business,
Small Organization,F,54.52,,Servers for Small Businesses,
Small Organization,F,30.43,,Servers for Large Businesses,
Gaming Purpose,M,48.65,,Workstations for Professional Use,
Gaming Purpose,M,46.29,,Laptop for Work,
Gaming Purpose,M,29.51,,Laptop for Home,
Personal Use,F,55.72,,Gaming Laptop,
Big Organization,M,33.95,,Desktops for Business,
Small organization,M,34.56,,Servers for Small Businesses,
Gaming Purpose,F,34.5,,Servers for Large Businesses,
Academic purpose,M,42.67,,Workstations for Professional Use,
Small organization,M,58.19,,Laptop for Work,
Big Organization,M,45.46,,Laptop for Home,
Small organization,F,22.62,,Gaming Laptop,
Small Organization,M,37.52,,Desktops for Business,
Academic purpose,F,30.32,,Servers for Small Businesses,
Personal Use,M,39.6,,Servers for Large Businesses,
Small organization,M,29.28,,Workstations for Professional Use,
Big Organization,M,46.85,,Laptop for Work,
Big Organization,M,48.82,,Laptop for Home,
Big Organization,M,45.22,,Gaming Laptop,
Big Organization,F,35.65,,Desktops for Business,
Big Organization,F,57.19,,Servers for Small Businesses,
Big Organization,F,31.18,,Servers for Large Businesses,
Academic purpose,F,21.7,,Workstations for Professional Use,
Small Organization,F,27.15,,Laptop for Work,
Gaming Purpose,F,54.41,,Laptop for Home,
Big Organization,F,45.4,,Gaming Laptop,
Big Organization,M,35.06,,Desktops for Business,
Big Organization,F,51.99,,Servers for Small Businesses,
Personal Use,M,43.28,,Servers for Large Businesses,
Small organization,M,56.5,,Workstations for Professional Use,
Big Organization,F,43.47,,Laptop for Work,
Gaming Purpose,F,45.62,,Laptop for Home,
Small organization,M,28,,Gaming Laptop,
Small Organization,M,24,,Desktops for Business,
Small organization,M,33.72,,Servers for Small Businesses,
Academic purpose,M,45.28,,Servers for Large Businesses,
Academic purpose,F,31.61,,Workstations for Professional Use,
Big Organization,M,38.46,,Laptop for Work,
Gaming Purpose,F,40.76,,Laptop for Home,
Big Organization,F,53.46,,Gaming Laptop,
Small Organization,M,37.56,,Desktops for Business,
Small organization,F,28.95,,Servers for Small Businesses,
Personal Use,F,50.18,,Servers for Large Businesses,
Small Organization,F,57.43,,Workstations for Professional Use,
Small organization,F,48.21,,Laptop for Work,
Gaming Purpose,M,55.54,,Laptop for Home,
Big Organization,M,56.69,,Gaming Laptop,
Personal Use,M,48.7,,Desktops for Business,
Big Organization,F,26.27,,Servers for Small Businesses,
Academic purpose,M,55.84,,Servers for Large Businesses,
Personal Use,F,44.67,,Workstations for Professional Use,
Personal Use,M,42.56,,Laptop for Work,
Big Organization,M,31.38,,Laptop for Home,
Personal Use,M,59.44,,Gaming Laptop,
Academic purpose,M,46.63,,Desktops for Business,
Big Organization,F,58.59,,Servers for Small Businesses,
Academic purpose,F,44.55,,Servers for Large Businesses,
Academic purpose,M,51.49,,Workstations for Professional Use,
Gaming Purpose,F,45.7,,Laptop for Work,
Small Organization,F,23.09,,Laptop for Home,
Small organization,M,26.69,,Gaming Laptop,
Big Organization,F,31.12,,Desktops for Business,
Big Organization,F,34.18,,Servers for Small Businesses,
Academic purpose,M,22.66,,Servers for Large Businesses,
Small Organization,M,55.08,,Workstations for Professional Use,
Small organization,M,30.99,,Laptop for Work,
Gaming Purpose,F,32.99,,Laptop for Home,
Small Organization,F,50.65,,Gaming Laptop,
Big Organization,M,30.92,,Desktops for Business,
Big Organization,F,58.78,,Servers for Small Businesses,
Small Organization,F,33.21,,Servers for Large Businesses,
Small organization,M,26.68,,Workstations for Professional Use,
Small Organization,M,49.78,,Laptop for Work,
Academic purpose,F,38.68,,Laptop for Home,
Gaming Purpose,F,54.55,,Gaming Laptop,
Big Organization,M,50.15,,Desktops for Business,
Personal Use,M,31.13,,Servers for Small Businesses,
Academic purpose,F,25.88,,Servers for Large Businesses,
Big Organization,M,47.84,,Workstations for Professional Use,
Big Organization,F,29.68,,Laptop for Work,
Small Organization,F,49.83,,Laptop for Home,
Personal Use,M,31.12,,Gaming Laptop,
Big Organization,F,31.59,,Desktops for Business,
Small Organization,M,53.71,,Servers for Small Businesses,
Personal Use,F,43.63,,Servers for Large Businesses,
Personal Use,M,40.13,,Workstations for Professional Use,
Big Organization,M,33.42,,Laptop for Work,
Personal Use,M,58.91,,Laptop for Home,
Academic purpose,M,27.65,,Gaming Laptop,
Small organization,F,33.17,,Desktops for Business,
Big Organization,F,31.62,,Servers for Small Businesses,
Personal Use,M,44.74,,Servers for Large Businesses,
Small organization,M,35.95,,Workstations for Professional Use,
Gaming Purpose,M,43.49,,Laptop for Work,
Academic purpose,F,52.58,,Laptop for Home,
Small Organization,M,53.9,,Gaming Laptop,
Gaming Purpose,F,23.93,,Desktops for Business,
Big Organization,F,59.89,,Servers for Small Businesses,
Big Organization,M,34.37,,Servers for Large Businesses,
Gaming Purpose,F,35.88,,Workstations for Professional Use,
Small Organization,M,43.91,,Laptop for Work,
Big Organization,F,46.16,,Laptop for Home,
Academic purpose,M,41.17,,Gaming Laptop,
Personal Use,M,22.42,,Desktops for Business,
Gaming Purpose,M,30.58,,Servers for Small Businesses,
Academic purpose,M,38.62,,Servers for Large Businesses,
Small organization,M,48.82,,Workstations for Professional Use,
Small Organization,M,30.03,,Laptop for Work,
Small Organization,M,54.55,,Laptop for Home,
Gaming Purpose,M,48.6,,Gaming Laptop,
Small Organization,M,42.3,,Desktops for Business,
Small organization,M,40.48,,Servers for Small Businesses,
Personal Use,F,29.78,,Servers for Large Businesses,
Small organization,F,42.94,,Workstations for Professional Use,
Small Organization,F,35.23,,Laptop for Work,
Small Organization,M,59.33,,Laptop for Home,
Gaming Purpose,M,45.17,,Gaming Laptop,
Big Organization,M,41.51,,Desktops for Business,
Small Organization,M,50.35,,Servers for Small Businesses,
Big Organization,M,57.37,,Servers for Large Businesses,
Big Organization,M,32.96,,Workstations for Professional Use,
Small Organization,M,58.68,,Laptop for Work,
Big Organization,F,22.07,,Laptop for Home,
Gaming Purpose,M,29.18,,Gaming Laptop,
Big Organization,M,22.32,,Desktops for Business,
Small organization,M,44.85,,Servers for Small Businesses,
Small Organization,M,49.92,,Servers for Large Businesses,
Big Organization,M,51.59,,Workstations for Professional Use,
Big Organization,M,41.79,,Laptop for Work,
Academic purpose,F,22.93,,Laptop for Home,
Big Organization,F,28.08,,Gaming Laptop,
Small organization,M,30.21,,Desktops for Business,
Big Organization,M,21.81,,Servers for Small Businesses,
Small organization,F,29.84,,Servers for Large Businesses,
Big Organization,M,54.88,,Workstations for Professional Use,
Big Organization,F,30.91,,Laptop for Work,
Small Organization,F,48.21,,Laptop for Home,
Academic purpose,M,58.02,,Gaming Laptop,
Academic purpose,M,23.26,,Desktops for Business,
Personal Use,F,26.33,,Servers for Small Businesses,
Small organization,M,30.69,,Servers for Large Businesses,
Big Organization,M,35.92,,Workstations for Professional Use,
Big Organization,M,30.33,,Laptop for Work,
Small Organization,M,32.36,,Laptop for Home,
Academic purpose,M,34.38,,Gaming Laptop,
Big Organization,F,42.53,,Desktops for Business,
Big Organization,M,45.84,,Servers for Small Businesses,
Gaming Purpose,F,49.68,,Servers for Large Businesses,
Personal Use,M,26.25,,Workstations for Professional Use,
Academic purpose,M,53.81,,Laptop for Work,
Gaming Purpose,F,48.65,,Laptop for Home,
Big Organization,F,44.21,,Gaming Laptop,
Small Organization,F,50.72,,Desktops for Business,
Big Organization,M,40.28,,Servers for Small Businesses,
Big Organization,F,46.3,,Servers for Large Businesses,
Personal Use,F,44.65,,Workstations for Professional Use,
Big Organization,F,54.06,,Laptop for Work,
Big Organization,F,25.46,,Laptop for Home,
Gaming Purpose,M,55.45,,Gaming Laptop,
Academic purpose,M,44.97,,Desktops for Business,
Personal Use,F,59.93,,Servers for Small Businesses,
Small organization,M,27.38,,Servers for Large Businesses,
Small Organization,M,43.39,,Workstations for Professional Use,
Big Organization,F,23.89,,Laptop for Work,
Big Organization,M,32.9,,Laptop for Home,
Academic purpose,F,39.08,,Gaming Laptop,
Small organization,M,25.58,,Desktops for Business,
Academic purpose,F,42.41,,Servers for Small Businesses,
Gaming Purpose,F,53.92,,Servers for Large Businesses,
Gaming Purpose,F,48.13,,Workstations for Professional Use,
Big Organization,F,46.1,,Laptop for Work,
Small organization,M,29.3,,Laptop for Home,
Personal Use,F,27.82,,Gaming Laptop,
Personal Use,F,56.12,,Desktops for Business,
Small Organization,M,41.17,,Servers for Small Businesses,
Academic purpose,F,34.56,,Servers for Large Businesses,
Small organization,M,53.86,,Workstations for Professional Use,
Big Organization,F,59.14,,Laptop for Work,
Big Organization,M,53.66,,Laptop for Home,
Big Organization,F,54.01,,Gaming Laptop,
Small organization,M,55.14,,Desktops for Business,
Personal Use,M,28.3,,Servers for Small Businesses,
Small Organization,F,57.58,,Servers for Large Businesses,
Personal Use,F,48.68,,Workstations for Professional Use,
Small organization,F,32.19,,Laptop for Work,
Academic purpose,M,46.22,,Laptop for Home,
Gaming Purpose,M,55.57,,Gaming Laptop,
Big Organization,F,42.42,,Desktops for Business,
Small Organization,F,43.4,,Servers for Small Businesses,
Small organization,M,53.56,,Servers for Large Businesses,
Big Organization,M,59.41,,Workstations for Professional Use,
Personal Use,M,24.3,,Laptop for Work,
Big Organization,M,29.58,,Laptop for Home,
Big Organization,F,24.47,,Gaming Laptop,
Gaming Purpose,F,31.55,,Desktops for Business,
Big Organization,F,46.18,,Servers for Small Businesses,
Small organization,F,28.4,,Servers for Large Businesses,
Big Organization,F,25.12,,Workstations for Professional Use,
Gaming Purpose,M,21.54,,Laptop for Work,
Big Organization,M,47.18,,Laptop for Home,
Big Organization,M,37.95,,Gaming Laptop,
Small Organization,F,38.21,,Desktops for Business,
Big Organization,M,29.6,,Servers for Small Businesses,
Personal Use,F,29.18,,Servers for Large Businesses,
Small organization,M,36.19,,Workstations for Professional Use,
Academic purpose,F,21.43,,Laptop for Work,
Small organization,M,26.08,,Laptop for Home,
Big Organization,M,37.33,,Gaming Laptop,
Big Organization,M,39.48,,Desktops for Business,
Small Organization,F,44.02,,Servers for Small Businesses,
Big Organization,F,48.96,,Servers for Large Businesses,
Small organization,F,23.56,,Workstations for Professional Use,
Small Organization,F,44.08,,Laptop for Work,
Personal Use,F,33.21,,Laptop for Home,
Gaming Purpose,F,28.38,,Gaming Laptop,
Big Organization,F,22.04,,Desktops for Business,
Small organization,M,45.61,,Servers for Small Businesses,
Big Organization,M,27.75,,Servers for Large Businesses,
Small Organization,M,40.11,,Workstations for Professional Use,
Big Organization,F,51.73,,Laptop for Work,
Gaming Purpose,F,58.61,,Laptop for Home,
Personal Use,M,41.4,,Gaming Laptop,
Small organization,F,52.07,,Desktops for Business,
Personal Use,M,57.82,,Servers for Small Businesses,
Academic purpose,F,57.99,,Servers for Large Businesses,
Personal Use,M,43.46,,Workstations for Professional Use,
Gaming Purpose,M,21.8,,Laptop for Work,
Big Organization,M,48.32,,Laptop for Home,
Gaming Purpose,F,37.58,,Gaming Laptop,
Small Organization,M,56.22,,Desktops for Business,
Small Organization,F,33,,Servers for Small Businesses,
Personal Use,M,35.44,,Servers for Large Businesses,
Gaming Purpose,M,29.56,,Workstations for Professional Use,
Big Organization,M,57.5,,Laptop for Work,
Small Organization,M,42.01,,Laptop for Home,
Big Organization,M,55.22,,Gaming Laptop,
Big Organization,M,46.04,,Desktops for Business,
Small Organization,F,39.12,,Servers for Small Businesses,
Big Organization,F,53.3,,Servers for Large Businesses,
Big Organization,F,30.92,,Workstations for Professional Use,
Big Organization,F,59.5,,Laptop for Work,
Personal Use,F,26.43,,Laptop for Home,
Personal Use,M,21.98,,Gaming Laptop,
Big Organization,M,26.59,,Desktops for Business,
Academic purpose,M,22.31,,Servers for Small Businesses,
Gaming Purpose,F,58.81,,Servers for Large Businesses,
Small organization,F,29.31,,Workstations for Professional Use,
Small Organization,F,32.53,,Laptop for Work,
Small Organization,M,42.23,,Laptop for Home,
Big Organization,F,53.11,,Gaming Laptop,
Big Organization,F,29.19,,Desktops for Business,
Personal Use,F,23.82,,Servers for Small Businesses,
Small Organization,F,50.92,,Servers for Large Businesses,
Big Organization,F,57.24,,Workstations for Professional Use,
Big Organization,F,23.66,,Laptop for Work,
Big Organization,M,57.79,,Laptop for Home,
Academic purpose,F,57.42,,Gaming Laptop,
Big Organization,M,35.6,,Desktops for Business,
Big Organization,F,43.39,,Servers for Small Businesses,
Small Organization,M,59.55,,Servers for Large Businesses,
Big Organization,F,50.68,,Workstations for Professional Use,
Gaming Purpose,M,44.62,,Laptop for Work,
Small Organization,M,50.21,,Laptop for Home,
Personal Use,M,36.47,,Gaming Laptop,
Personal Use,F,58.01,,Desktops for Business,
Gaming Purpose,M,57.25,,Servers for Small Businesses,
Personal Use,F,34.57,,Servers for Large Businesses,
Big Organization,F,58.68,,Workstations for Professional Use,
Small Organization,M,47.63,,Laptop for Work,
Big Organization,F,21.42,,Laptop for Home,
Small Organization,F,35.07,,Gaming Laptop,
Personal Use,M,44.59,,Desktops for Business,
Personal Use,F,26.16,,Servers for Small Businesses,
Gaming Purpose,F,35.62,,Servers for Large Businesses,
Big Organization,M,40.96,,Workstations for Professional Use,
Gaming Purpose,M,53.35,,Laptop for Work,
Gaming Purpose,M,58.09,,Laptop for Home,
Big Organization,M,56.33,,Gaming Laptop,
Gaming Purpose,F,50.62,,Desktops for Business,
Big Organization,F,31.41,,Servers for Small Businesses,
Big Organization,F,51.31,,Servers for Large Businesses,
Personal Use,M,34.56,,Workstations for Professional Use,
Big Organization,F,52.05,,Laptop for Work,
Small Organization,F,26.96,,Laptop for Home,
Big Organization,M,49.59,,Gaming Laptop,
Academic purpose,M,52.32,,Desktops for Business,
Academic purpose,M,42.44,,Servers for Small Businesses,
Small Organization,M,53.46,,Servers for Large Businesses,
Big Organization,M,57.12,,Workstations for Professional Use,
Big Organization,F,30.14,,Laptop for Work,
Small Organization,F,47.59,,Laptop for Home,
Big Organization,M,31.15,,Gaming Laptop,
Big Organization,F,57.95,,Desktops for Business,
